,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,PH4d,PH4h,PHInt,HTrad,RTrad,FPTrad,"
                            #Sampling Factors
                            ""SampleSize"",
                            ""SamplesPSublot"",
                            ""NumberGrabs"",
                            Harvest Wash Red",Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,WashingYN,TotalCFUFP,PH4Int,Harvest Wash Red
57,454000000.0,3.0,1000.0,4.274716482801519,-3.2768774178092355,True,True,,True,True,True,,2.870830071942887,16.319656798181278,0.4369689670495903,3.024067255802404,False,5.713443610734598,5.704658661783009,True,0.0,True,1.3397415236450323
58,454000000.0,4.0,100.0,7.577432792225821,-6.383506889427114,True,True,,True,True,True,,3.822622778782635,15.825123806191959,0.531540545695931,3.8823138995083233,True,6.122112990016806,4.954306180242835,True,0.0,True,1.3188341192135664
59,45400000.0,2.0,100.0,5.410857762830966,-4.99083558842353,True,True,,True,True,True,,2.202164516652921,15.336814039848578,0.41747355957359267,3.3208065989033013,True,6.224572251064025,4.500069565007115,False,0.0,True,1.2478844682850463
60,4540.0,1.0,1000.0,4.7642611623375934,-2.6952915782414566,True,True,,True,True,True,,3.599880491912372,15.513820963516212,0.5104055946430563,3.1264465346282324,True,5.069613889380534,4.692608906260601,True,0.0,True,1.389627112672379
61,4540000.0,3.0,10000.0,4.604775765181686,-3.239032941759488,True,True,,True,True,True,,3.902321027671868,16.18151174236105,0.4877198623650075,3.512293672214523,True,6.232582105804605,4.53664985921414,False,9.0,True,1.3619748171106867
62,454000000.0,4.0,100.0,7.163614290226699,-6.558696239106302,True,True,,True,True,True,,2.849514513397848,15.702056196723383,0.5515051298857987,3.929895504959968,True,5.364399238158146,5.688363782920266,False,4.0,True,1.3241335696044054
63,4540.0,3.0,1000.0,4.287774669031615,-2.1627753995902927,True,True,,True,True,True,,2.5568748659849083,15.303866791130703,0.5271296965473772,3.784544823130843,True,6.812319631131874,5.689537774121873,True,0.0,True,1.121397630317353
64,4540.0,2.0,1000.0,2.5521353485260665,-1.209343933302909,True,True,,True,True,True,,2.8338357875615303,16.592093860059226,0.5265914401780735,3.920432701028405,True,6.068015714016492,5.784272041782182,False,76.0,True,1.1021790083921454
65,4540000.0,4.0,100.0,3.1196321867815024,-2.0783845207647316,True,True,,True,True,True,,3.9575798050782645,16.19451531810057,0.41673042634071317,3.6940367244625167,True,6.226268640126677,5.961704149882815,False,0.0,True,1.1090668767232659
66,4540000.0,1.0,100000.0,4.142174459697737,-3.8289727051865854,True,True,,True,True,True,,3.0648805299656052,15.996407756340957,0.4458889612409025,3.6130352202227307,False,5.305677957831715,4.818500112556138,False,0.0,True,1.2958366833970438
67,4540.0,1.0,1000.0,4.4823934052726635,-3.991889236894403,True,True,,True,True,True,,3.3489440571826004,16.256194495114467,0.5672846114133198,3.3334584483021295,True,5.02214475871379,5.619235737705267,True,0.0,True,1.3674941713389417
68,45400.0,2.0,1000.0,3.9521668143253508,-3.7640540309351147,True,True,,True,True,True,,3.310572128011886,15.15531597706518,0.4875484118650383,3.039383836486458,True,5.755629714781067,5.269402419643212,False,0.0,True,1.2372946835097043
69,454000000.0,1.0,1000.0,3.722949803367868,-3.1021735993170103,True,True,,True,True,True,,2.805302766691894,16.95601830607681,0.48915642331280224,3.486566144705346,False,5.5141111393405104,4.493141882609547,True,0.0,True,1.3227207472270583
70,45400.0,4.0,10000.0,3.731940894277402,-2.612028423287134,True,True,,True,True,True,,3.718237349889983,16.757169101657798,0.5671619523890193,3.442146724510845,False,6.209121224829888,4.866618236503583,True,0.0,True,1.3139552660845795
71,45400000.0,1.0,1000.0,3.6575886660177477,-2.772893650731005,True,True,,True,True,True,,3.6767895130482815,16.87864839717023,0.46986114056818173,3.044490837487232,False,6.846032743401894,4.703679400048809,False,0.0,True,1.1461549938340962
72,454000000.0,2.0,100.0,6.968873367136006,-7.0379435254403795,True,True,,True,True,True,,2.0395126041277,16.95018714830385,0.5243391759997056,3.6511410277827063,False,5.1202125350493874,5.962718543776883,False,0.0,True,1.2773074626207408
73,4540000.0,1.0,10000.0,4.931620357156119,-1.7835756683853634,True,True,,True,True,True,,3.9047662345135405,15.81908298954296,0.4222524462655063,3.0457497074777726,True,6.161145877454007,5.3259115023300065,True,360.0,True,1.1257193540823784
74,4540.0,1.0,100000.0,4.457620791064642,-2.2990214590411004,True,True,,True,True,True,,3.9194317514448107,15.048306372812462,0.4209376130494669,3.894779915848398,True,5.478854534748044,4.397756374147764,True,0.0,True,1.2944871265794093
75,45400000.0,3.0,100.0,3.7714080679493884,-2.968866425611764,True,True,,True,True,True,,3.8975326426599963,15.296901682570619,0.48954988097227803,3.5063104775725593,True,6.413909521165273,4.866687366266818,False,0.0,True,1.17639127998774
