,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,TotalCFUFP,PropCont
521,100000.0,10000.0,6.0900715751113905,-3.281659295376319,3.8815217629841112,15.304962852136038,0.4667214164450648,3.3128481328838806,True,6.807100438482939,5.031794858862078,1.1273170242401946,True,True,0.22449929476727168,0.0011930671332780437,0.0,2500.0,-2.0,0.18131061493197942,0.005540142014487569,0.5,5000.0,-1.0,0.17429684628068887,0.001010503484110325,0.75,7500.0,-4.0,0.278383582083821,0.0013009732596895411,1.0,5000.0,-4.0,0.0,0.0
522,100000.0,100000.0,4.380723128318929,-3.6127977779589706,2.6489627570999854,16.985125720053873,0.5020225327002547,3.451559846070892,False,6.870474267436805,4.7588742906747274,1.1990993320323984,True,True,0.2544807887760674,0.0016338209926768312,1.0,2500.0,-4.0,0.18875279024926542,0.007956089918659764,0.75,7500.0,-4.0,0.18570313472255656,0.0003361563254573393,0.5,2500.0,-3.0,0.27533452824800037,0.002784495415746532,0.5,2500.0,-4.0,0.0,0.0
523,100000.0,1000.0,3.2781095342212168,-1.3275699805921495,3.535460009311049,16.180638239698848,0.5423105971859409,3.434901866646534,True,6.31618301867438,5.985539036331399,1.3201909647844836,True,True,0.25035336965878635,0.002900117032341138,1.0,5000.0,-2.0,0.17847412221071254,0.0060851884135203925,0.25,7500.0,-1.0,0.14912362229339995,0.0013759088178563294,0.5,2500.0,-3.0,0.2528639671422437,0.001982648537396061,0.5,5000.0,-3.0,18.0,0.0009
524,100000.0,1000.0,5.759375990341251,-5.211834329045944,2.929455537274712,15.15825654351042,0.4919276947320186,3.480749867430399,False,5.459163073196107,4.3237074628149355,1.1052467564938295,True,True,0.17118229557208142,0.0016057785470369097,0.5,2500.0,-3.0,0.19025505582968422,0.008531272092354311,1.0,7500.0,-4.0,0.2540283895386022,0.0006507864798460722,1.0,2500.0,-1.0,0.25518830627527905,0.0028270708620015306,0.25,7500.0,-2.0,0.0,0.0
525,100000.0,100000.0,6.339086613084171,-5.3612391500818735,2.8242253124232044,15.66208571241075,0.5248345061227839,3.830932682639954,False,6.527601177828684,4.99571687450283,1.4294807305564439,True,False,0.2085429418854299,0.0020955563313287654,0.0,5000.0,-4.0,0.17466334235404357,0.009735376004730411,0.25,5000.0,-1.0,0.1991097860991775,0.0012747267015578343,0.0,2500.0,-4.0,0.2728714853488116,0.007194184040251881,0.5,5000.0,-4.0,0.0,0.0
526,100000.0,10000.0,2.290530145161204,-1.8169737453290917,3.2282201185970756,15.833371194592525,0.4012507790722107,3.6940588557229654,False,6.000829978116592,4.887291403779108,1.4415294657285815,False,True,0.21363358990899728,0.002849838466099684,0.5,2500.0,-3.0,0.16347210178275917,0.011497570158325577,0.0,2500.0,-2.0,0.22255857410781665,0.002588705950601361,0.25,7500.0,-1.0,0.2823042703323232,0.007564405793185205,0.25,2500.0,-2.0,343.0,0.01355
527,100000.0,100000.0,2.18094882686388,-1.6764514941692534,3.2527695109143115,15.67897584119442,0.5586970884696496,3.5855415638656245,True,6.830739571421518,5.294484788704528,1.122527859401561,False,True,0.25304243454493064,0.004052520506516605,1.0,7500.0,-1.0,0.17020192778229598,0.009512093162090035,1.0,2500.0,-4.0,0.14138832754889796,0.0005201863959295103,1.0,5000.0,-3.0,0.2757400832073772,0.004879835944726338,0.75,7500.0,-2.0,199.0,0.0099
528,100000.0,100000.0,4.236936869032943,-1.6181612283105835,3.165978215697435,15.912419293234818,0.4266355828482799,3.482049416306685,False,5.999903292852115,5.673578240325275,1.2770574593585362,True,True,0.22472770939664424,0.0014662400012783728,0.25,2500.0,-4.0,0.17903461625244535,0.008428775194086868,0.75,7500.0,-4.0,0.09598145604864972,0.0013639211101442146,0.0,5000.0,-2.0,0.2828149620531171,0.003916827882748617,0.25,5000.0,-1.0,2.0,0.0001
529,100000.0,1000.0,6.207318482336322,-5.8964228656678,2.043296807108108,15.231373273316567,0.5734487058321631,3.9750395542323402,True,5.10741852459853,5.076453345666735,1.3744701796130787,True,True,0.20338168781335653,0.004074968799394101,1.0,5000.0,-1.0,0.16049986863363166,0.011550702406037115,0.75,2500.0,-1.0,0.289450220830196,0.0016288045579727125,0.0,5000.0,-1.0,0.2620333573838668,0.008487781692565397,0.5,5000.0,-2.0,0.0,0.0
530,100000.0,1000.0,2.014273777342454,-1.4719636049002702,2.9025392616753307,15.502926638179005,0.471278579098838,3.2156889356419365,True,6.236470584153566,4.490567454692274,1.36729996158701,False,True,0.18998029185436474,0.0022339454932594183,1.0,5000.0,-2.0,0.16423864161273954,0.005018684155028739,1.0,2500.0,-3.0,0.2716775165001669,0.00015405378144130923,0.5,2500.0,-2.0,0.28749024442767435,0.003728747250387533,0.75,2500.0,-3.0,320.0,0.01255
