,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,PHS4d,PHS4h,PHSInt,HS,RS,FPS,CS,TotalCFUFP,PropCont
885,100000.0,100000.0,1.2966522974867698,-0.9794376518927184,2.5142983282544655,16.87221743532469,0.4614504761596062,3.94449872146405,True,5.895343898912923,4.727463747355333,1.3778825262896304,False,False,1.3778825262896304,0.23557665720238513,0.0016529523441982457,0.25,2500.0,-1.0,0.16198009343433412,0.001923164666198903,0.75,7500.0,-4.0,0.19672611533875112,0.0020146111299457316,0.5,5000.0,-1.0,0.2883339537183287,0.0053775229186564695,1.0,5000.0,-4.0,24.0,5.698141961330022,63.57,1.8236486117590829,24.0,4.0,False,False,False,False,True,False,False,3727.0,0.1672
886,100000.0,10000.0,0.21232109669430047,-0.19400215083269284,2.201142354200516,15.939849805489091,0.5709137326924125,3.2972110867837974,False,6.129119669335122,5.306987602059562,1.3708665461391953,False,True,1.3708665461391953,0.237685938379253,0.0016324910226841634,0.75,7500.0,-3.0,0.18056810159735898,0.008055604627716772,0.5,7500.0,-1.0,0.12982346416423016,0.0005979844662750887,0.5,2500.0,-3.0,0.2701905096232905,0.005140975445927769,1.0,5000.0,-1.0,24.0,5.876995766894127,63.57,3.908125192495818,24.0,4.0,False,False,False,False,True,False,False,0.0,0.0
887,100000.0,1000.0,1.8718963632286918,-0.9591679977827194,3.1993851698456006,15.599741410144716,0.5593223563888614,3.3661961250955503,True,6.761216687569623,4.5956832665752865,1.1151974052512181,True,False,1.1151974052512181,0.23041878642145852,0.0008447193266247554,0.5,5000.0,-4.0,0.15703891930952857,0.007525761376506558,0.0,2500.0,-1.0,0.215487516729247,0.0008444392594768009,0.75,2500.0,-1.0,0.27335934897132164,0.01204960316299675,0.0,2500.0,-3.0,24.0,5.913365294748297,63.57,4.959410616360449,24.0,4.0,False,False,False,False,False,False,True,308.0,0.0132
888,100000.0,1000.0,5.880080047254174,-5.94576406851405,2.966951918310283,16.84205453239969,0.4857112882636708,3.057460092575271,True,6.850014868858685,5.315203076766422,1.1592450183284748,True,True,1.1592450183284748,0.2489353091715187,0.001814066067946461,0.75,2500.0,-2.0,0.17880949476387442,0.010772656673500691,0.75,2500.0,-1.0,0.18229365409060758,0.001022030368129099,1.0,5000.0,-4.0,0.2633429586661331,0.008275793039847478,0.25,7500.0,-2.0,24.0,4.423463529779606,63.57,0.1890982693117603,24.0,4.0,False,False,False,False,False,False,True,0.0,0.0
889,100000.0,10000.0,3.703228684837411,-3.3433419741944,3.4991923614351066,15.810553671854011,0.4549469152220552,3.4002416575999344,True,6.00828995964616,5.9670106415444994,1.3908719903169169,True,False,1.3908719903169169,0.24491995979806436,0.0028473977604654734,0.25,5000.0,-4.0,0.16986566483220594,0.003777187260371924,0.5,2500.0,-2.0,0.28524066565546,0.0011753739253478573,0.5,2500.0,-4.0,0.30093089322917527,0.006082940072827113,0.25,7500.0,-3.0,24.0,4.793506340062904,63.57,3.1720380536781265,24.0,4.0,False,False,False,False,False,True,False,0.0,0.0
890,100000.0,10000.0,4.719014730408826,-2.894244878103652,3.1664368370994307,16.25175041183793,0.46121712749150773,3.9156579775350133,True,6.28183498832851,5.251473870323357,1.2478183923235042,True,True,1.2478183923235042,0.21390721598073725,0.0013426015710656955,0.0,7500.0,-2.0,0.1991079990811791,0.007432544630990426,1.0,5000.0,-3.0,0.09287940501956755,0.00038328373451850727,0.5,2500.0,-2.0,0.2595068630409805,0.0017930124191556152,0.75,2500.0,-4.0,24.0,5.705545565412156,63.57,5.467035605960244,24.0,4.0,False,True,False,False,False,False,False,0.0,0.0
891,100000.0,1000.0,3.835042071493074,-3.946787725293738,2.5010154252866115,16.31684834960028,0.5965830990895232,3.0756379895529387,False,6.134635831647812,4.465285159125394,1.2393068642982168,False,False,1.2393068642982168,0.26479303683310973,0.004944360893842931,0.0,7500.0,-2.0,0.19669166442555394,0.00795648057508223,0.0,7500.0,-1.0,0.2816898671393402,0.0023812687583885123,0.25,5000.0,-1.0,0.24986190703632966,0.0036836425238162395,0.75,7500.0,-3.0,24.0,4.105929469091633,63.57,1.1743133727051847,24.0,4.0,False,False,False,True,False,False,False,0.0,0.0
892,100000.0,10000.0,5.471538211994135,-3.5683735992829715,3.9411362839663218,15.620623865332604,0.5943425841443035,3.489035064959081,False,6.172267675133706,5.21970364045278,1.4594929762877809,True,False,1.4594929762877809,0.17413098420939824,0.003213585569658971,0.75,7500.0,-4.0,0.19422688186398493,0.010364261325029371,1.0,5000.0,-3.0,0.19065058833652201,0.001439782241394915,0.75,7500.0,-4.0,0.28878628663517075,0.009121056380651544,0.5,5000.0,-2.0,24.0,5.729428140359512,63.57,2.0079554096541847,24.0,4.0,False,False,False,False,True,False,False,0.0,0.0
893,100000.0,100000.0,5.795731628083291,-5.844056879121592,3.973468265055022,16.87021704996882,0.4276179125739478,3.069541662776023,True,5.8651158327448565,4.797202332201963,1.4492923294363913,True,True,1.4492923294363913,0.21971894841701778,0.003936866986567728,0.25,2500.0,-1.0,0.17570450567433232,0.0032349317294974324,0.0,7500.0,-1.0,0.18783818451031725,0.0018046269579572588,1.0,5000.0,-4.0,0.2583785686413464,0.006966553640880575,0.5,7500.0,-4.0,24.0,5.64422570151288,63.57,2.497006228217995,24.0,4.0,False,False,False,True,False,False,False,0.0,0.0
894,100000.0,1000.0,6.6679266461556,-5.032158530793395,2.580558741077481,16.745096576134262,0.460050765488037,3.4069172362944946,True,6.364058438864051,5.99608701223937,1.4042118780357247,False,True,1.4042118780357247,0.20129155758129044,0.004204524796523982,0.25,2500.0,-2.0,0.1700126832912895,0.005179425903255279,0.75,7500.0,-2.0,0.21871886014216116,0.001151461280167005,0.75,5000.0,-2.0,0.2750603837948419,0.002743468954902782,0.25,7500.0,-3.0,24.0,5.888701248478939,63.57,3.3543903006846363,24.0,4.0,False,False,True,False,False,False,False,0.0,0.0
895,100000.0,1000.0,4.365876965115343,-3.2758884264122994,2.370875916974673,16.797117116521925,0.578898057328553,3.176324813539161,True,5.866969408580218,5.049437561733119,1.2891828659415758,False,True,1.2891828659415758,0.18472599446386356,0.0010747975171327337,1.0,7500.0,-2.0,0.18481388510903363,0.007392352752851114,0.0,2500.0,-4.0,0.2751205986844627,0.002075743713035558,0.25,2500.0,-1.0,0.26595781689601417,0.012394017804015278,0.5,2500.0,-1.0,24.0,5.196819393885582,63.57,4.079455759844067,24.0,4.0,False,True,False,False,False,False,False,4.0,0.0002
896,100000.0,100000.0,3.809209472433571,-1.9779363873274367,2.421606429618644,15.541032113369889,0.575559080219007,3.5512537401297632,False,5.929891587298374,5.310900306171823,1.3293120056462857,True,True,1.3293120056462857,0.1723440277599001,0.0038434311900127777,1.0,5000.0,-4.0,0.2048565992930002,0.008332031443676988,0.75,2500.0,-1.0,0.22084205651576558,0.0028666178352932214,0.0,5000.0,-3.0,0.2741676939621213,0.011720622571426432,0.75,5000.0,-4.0,24.0,4.408337369727274,63.57,3.73910908839687,24.0,4.0,False,False,False,False,False,False,True,0.0,0.0
897,100000.0,1000.0,2.5977048632001707,-1.0960219409558203,3.4147819739482355,16.192848386604535,0.5515075997568826,3.8068236773660695,True,6.776896186129709,4.914842681788984,1.3525477429983221,False,True,1.3525477429983221,0.2138904836120821,0.0033878260960911056,0.75,5000.0,-2.0,0.1926971609097847,0.005877998750940926,0.75,7500.0,-2.0,0.22161211487894414,0.0014611574304476387,0.75,2500.0,-4.0,0.2648250564903838,0.009546516003320116,1.0,7500.0,-1.0,24.0,5.03591808973947,63.57,5.043294926230183,24.0,4.0,False,False,False,False,True,False,False,4794.0,0.04995
898,100000.0,1000.0,5.1221281272336725,-3.908122874529175,2.50893447882615,15.578035796030107,0.469046736828682,3.453356546111799,False,6.439519755912807,5.36582677047932,1.3125519839464386,True,True,1.3125519839464386,0.22673318867682118,0.001586068715028978,0.5,7500.0,-4.0,0.16569916812731375,0.011549410125382539,1.0,7500.0,-3.0,0.24578937694881406,0.0008335828553991749,1.0,2500.0,-3.0,0.2757088873841229,0.009304178298323801,0.25,5000.0,-1.0,24.0,4.271150727478475,63.57,4.366858515651664,24.0,4.0,False,False,False,False,True,False,False,0.0,0.0
899,100000.0,100000.0,3.674809561700437,-2.2830970559746016,3.396990118493828,16.45048718075734,0.43190117078995294,3.7885507227923316,False,5.108309776676391,4.95219747520056,1.2714965983012854,False,True,1.2714965983012854,0.19857402767156426,0.0017949667025348491,1.0,7500.0,-4.0,0.17323134937193396,0.006115605457489213,0.0,5000.0,-2.0,0.18246557422943238,0.0028982407808559895,0.5,2500.0,-1.0,0.2730170512140805,0.012854640788852309,0.0,7500.0,-2.0,24.0,4.070399436572124,63.57,1.557675539838037,24.0,4.0,False,False,False,True,False,False,False,10.0,0.0005
900,100000.0,10000.0,3.7232309772099144,-1.9961712755374663,3.088836905044773,15.299759910352986,0.46168999928091425,3.6086746455819108,False,5.545080871653567,4.139071142387971,1.2106380536662138,False,True,1.2106380536662138,0.22021086530982595,0.003288207304114633,0.25,5000.0,-2.0,0.18113882083471355,0.008066287016070886,0.0,2500.0,-1.0,0.267171569342987,0.0025382283284704856,1.0,7500.0,-2.0,0.2795516675367615,0.0035213698970460033,1.0,7500.0,-4.0,24.0,4.183521737230245,63.57,2.364772181215579,24.0,4.0,False,False,False,False,True,False,False,83.0,0.004
901,100000.0,100000.0,5.254919880007632,-4.042113039533132,2.137668683615768,16.755319607954487,0.5704393816401401,3.9768467305589983,True,6.607016372702251,4.717642604025898,1.1494497101704562,True,False,1.1494497101704562,0.17377132502551162,0.003178471933136222,0.25,5000.0,-2.0,0.16872181930565594,0.0051571148046455784,0.5,5000.0,-3.0,0.22270849014044203,0.0013179546594421555,0.0,5000.0,-1.0,0.29119256043924857,0.010199185162298242,1.0,5000.0,-3.0,24.0,4.102446535101894,63.57,3.9520005447066384,24.0,4.0,False,True,False,False,False,False,False,0.0,0.0
902,100000.0,1000.0,0.7441537788918828,-0.712942894195913,3.6729067727995703,16.490149736191015,0.5664327617541305,3.9542879903671038,True,6.729142807771914,4.721464726179617,1.1616537299782406,False,True,1.1616537299782406,0.19605292623307877,0.003489836108689961,1.0,2500.0,-1.0,0.19727188197986356,0.007459642965183676,0.75,7500.0,-1.0,0.19515871857311046,0.0003605672158144207,0.5,7500.0,-3.0,0.2937418039595006,0.012863568191997028,1.0,2500.0,-2.0,24.0,4.67468010711635,63.57,5.764634731066567,24.0,4.0,False,False,False,False,True,False,False,11755.0,0.06365
903,100000.0,100000.0,4.740350626464503,-3.2927894957868564,2.0849663372545653,15.764496866053861,0.5736865074621348,3.295931956499228,True,5.0855053370186045,4.42609305521454,1.387818333825878,True,True,1.387818333825878,0.2253275568289663,0.0033987844210821277,1.0,5000.0,-2.0,0.16756424792522157,0.0037905332742732903,0.0,2500.0,-2.0,0.1251785842821626,0.0009232945859007041,1.0,7500.0,-1.0,0.2486150318445881,0.012844929265361717,0.75,7500.0,-2.0,24.0,4.154213634818052,63.57,2.921467578267695,24.0,4.0,False,False,False,False,True,False,False,0.0,0.0
