"","Type","Mass","variable","Cont","mean","CI_95","CI_05"
"213","Receiving","60 Tomato Mash","Power_Pick_3","100%",0.16,0.21,0.1
"214","Receiving","60 Tomato Mash","Power_Pick_3","10%",0.135,0.16,0.08
"215","Receiving","60 Tomato Mash","Power_Pick_3","1%",0.1,0.141,0.06
"216","Receiving","60 Tomato Mash","Power_Pick_3","0.1%",0.02,0.042,0.009
"217","Packed Product","2 Tomatoes","Power_Pick_1","100%",0,0.02,0
"218","Packed Product","2 Tomatoes","Power_Pick_1","10%",0,0.01,0
"219","Packed Product","2 Tomatoes","Power_Pick_1","1%",0,0.01,0
"220","Packed Product","2 Tomatoes","Power_Pick_1","0.1%",0,0,0
"221","Packed Product","2 Tomatoes","Power_Pick_2","100%",0,0.011,0
"222","Packed Product","2 Tomatoes","Power_Pick_2","10%",0,0.011,0
"223","Packed Product","2 Tomatoes","Power_Pick_2","1%",0,0.00100000000000001,0
"224","Packed Product","2 Tomatoes","Power_Pick_2","0.1%",0,0.01,0
"225","Packed Product","2 Tomatoes","Power_Pick_3","100%",0,0.02,0
"226","Packed Product","2 Tomatoes","Power_Pick_3","10%",0,0.01,0
"227","Packed Product","2 Tomatoes","Power_Pick_3","1%",0,0.01,0
"228","Packed Product","2 Tomatoes","Power_Pick_3","0.1%",0,0,0
"229","Packed Product","6 Tomatoes","Power_Pick_1","100%",0.015,0.03,0
"230","Packed Product","6 Tomatoes","Power_Pick_1","10%",0.01,0.02,0
"231","Packed Product","6 Tomatoes","Power_Pick_1","1%",0.01,0.011,0
"232","Packed Product","6 Tomatoes","Power_Pick_1","0.1%",0,0.00100000000000001,0
"233","Packed Product","6 Tomatoes","Power_Pick_2","100%",0.01,0.04,0
"234","Packed Product","6 Tomatoes","Power_Pick_2","10%",0.015,0.03,0
"235","Packed Product","6 Tomatoes","Power_Pick_2","1%",0.005,0.021,0
"236","Packed Product","6 Tomatoes","Power_Pick_2","0.1%",0,0.01,0
"237","Packed Product","6 Tomatoes","Power_Pick_3","100%",0.01,0.031,0
"238","Packed Product","6 Tomatoes","Power_Pick_3","10%",0.01,0.022,0
"239","Packed Product","6 Tomatoes","Power_Pick_3","1%",0.01,0.02,0
"240","Packed Product","6 Tomatoes","Power_Pick_3","0.1%",0,0,0
"241","Packed Product","20 Tomatoes","Power_Pick_1","100%",0.05,0.081,0.02
"242","Packed Product","20 Tomatoes","Power_Pick_1","10%",0.03,0.042,0.01
"243","Packed Product","20 Tomatoes","Power_Pick_1","1%",0.02,0.041,0.009
"244","Packed Product","20 Tomatoes","Power_Pick_1","0.1%",0.005,0.02,0
"245","Packed Product","20 Tomatoes","Power_Pick_2","100%",0.04,0.06,0.01
"246","Packed Product","20 Tomatoes","Power_Pick_2","10%",0.035,0.06,0.018
"247","Packed Product","20 Tomatoes","Power_Pick_2","1%",0.03,0.04,0.009
"248","Packed Product","20 Tomatoes","Power_Pick_2","0.1%",0,0.02,0
"249","Packed Product","20 Tomatoes","Power_Pick_3","100%",0.05,0.07,0.02
"250","Packed Product","20 Tomatoes","Power_Pick_3","10%",0.03,0.061,0.02
"251","Packed Product","20 Tomatoes","Power_Pick_3","1%",0.025,0.052,0.009
"252","Packed Product","20 Tomatoes","Power_Pick_3","0.1%",0.01,0.02,0
"253","Packed Product","60 Tomatoes","Power_Pick_1","100%",0.11,0.143,0.078
"254","Packed Product","60 Tomatoes","Power_Pick_1","10%",0.08,0.122,0.049
"255","Packed Product","60 Tomatoes","Power_Pick_1","1%",0.07,0.121,0.03
"256","Packed Product","60 Tomatoes","Power_Pick_1","0.1%",0.02,0.04,0.009
"257","Packed Product","60 Tomatoes","Power_Pick_2","100%",0.1,0.13,0.08
"258","Packed Product","60 Tomatoes","Power_Pick_2","10%",0.09,0.11,0.05
"259","Packed Product","60 Tomatoes","Power_Pick_2","1%",0.07,0.1,0.04
"260","Packed Product","60 Tomatoes","Power_Pick_2","0.1%",0.03,0.05,0.01
"261","Packed Product","60 Tomatoes","Power_Pick_3","100%",0.11,0.131,0.068
