,Cont,Pick,Type,Mass,Cont Type,HI
21,0.002616165560327997,2.0,PH,1 Tomato,Uniform,139530.0
22,0.0,2.0,PH,1 Tomato,Uniform,139530.0
23,0.0015749056358193413,2.0,PH,1 Tomato,Uniform,139530.0
24,0.0,2.0,PH,1 Tomato,Uniform,139530.0
25,0.0,2.0,PH,1 Tomato,Uniform,139530.0
26,0.11269035532994924,2.0,PH,1 Tomato,Uniform,139530.0
27,0.14131198750488091,2.0,PH,1 Tomato,Uniform,139530.0
28,0.42258232461278145,2.0,PH,1 Tomato,Uniform,139530.0
29,0.0,2.0,PH,1 Tomato,Uniform,139530.0
30,0.0,2.0,PH,1 Tomato,Uniform,139530.0
31,0.0025901340622152807,2.0,PH,1 Tomato,Uniform,139530.0
32,0.0,2.0,PH,1 Tomato,Uniform,139530.0
33,0.2228816868410777,2.0,PH,1 Tomato,Uniform,139530.0
34,0.0016269686320447743,2.0,PH,1 Tomato,Uniform,139530.0
35,0.009826890537550436,2.0,PH,1 Tomato,Uniform,139530.0
36,0.0,2.0,PH,1 Tomato,Uniform,139530.0
37,0.0,2.0,PH,1 Tomato,Uniform,139530.0
38,0.036066640635168554,2.0,PH,1 Tomato,Uniform,139530.0
39,0.010816087465833658,2.0,PH,1 Tomato,Uniform,139530.0
40,0.0,2.0,PH,1 Tomato,Uniform,139530.0
41,0.0,2.0,PH,1 Tomato,Uniform,139530.0
42,0.0,2.0,PH,1 Tomato,Uniform,139530.0
43,0.0,2.0,PH,1 Tomato,Uniform,139530.0
44,0.06765586359494989,2.0,PH,1 Tomato,Uniform,139530.0
45,0.08771313289079787,2.0,PH,1 Tomato,Uniform,139530.0
46,0.0,2.0,PH,1 Tomato,Uniform,139530.0
47,0.0013145906546921775,2.0,PH,1 Tomato,Uniform,139530.0
48,0.0,2.0,PH,1 Tomato,Uniform,139530.0
49,0.002082519849017311,2.0,PH,1 Tomato,Uniform,139530.0
0,2.603115929767932e-05,3.0,PH,1 Tomato,Uniform,139530.0
1,0.3264697843318452,3.0,PH,1 Tomato,Uniform,139530.0
2,0.0006117322434954641,3.0,PH,1 Tomato,Uniform,139530.0
3,0.0,3.0,PH,1 Tomato,Uniform,139530.0
4,0.00032538949122099155,3.0,PH,1 Tomato,Uniform,139530.0
5,0.0006768101417396623,3.0,PH,1 Tomato,Uniform,139530.0
6,0.0004425297080605485,3.0,PH,1 Tomato,Uniform,139530.0
7,0.0002733271726256329,3.0,PH,1 Tomato,Uniform,139530.0
8,0.0,3.0,PH,1 Tomato,Uniform,139530.0
9,0.0007158568806861814,3.0,PH,1 Tomato,Uniform,139530.0
10,0.0002733271726256329,3.0,PH,1 Tomato,Uniform,139530.0
11,2.603115929767932e-05,3.0,PH,1 Tomato,Uniform,139530.0
12,7.809347789303797e-05,3.0,PH,1 Tomato,Uniform,139530.0
13,0.209433692129479,3.0,PH,1 Tomato,Uniform,139530.0
14,0.00036443623016751053,3.0,PH,1 Tomato,Uniform,139530.0
15,0.13027293670523618,3.0,PH,1 Tomato,Uniform,139530.0
16,0.02415691582824641,3.0,PH,1 Tomato,Uniform,139530.0
17,3.9046738946518984e-05,3.0,PH,1 Tomato,Uniform,139530.0
18,0.0,3.0,PH,1 Tomato,Uniform,139530.0
19,6.50778982441983e-05,3.0,PH,1 Tomato,Uniform,139530.0
20,0.00010412463719071728,3.0,PH,1 Tomato,Uniform,139530.0
21,7.809347789303797e-05,3.0,PH,1 Tomato,Uniform,139530.0
22,0.0,3.0,PH,1 Tomato,Uniform,139530.0
23,2.603115929767932e-05,3.0,PH,1 Tomato,Uniform,139530.0
24,0.03290338535226666,3.0,PH,1 Tomato,Uniform,139530.0
25,0.7548906040530515,3.0,PH,1 Tomato,Uniform,139530.0
26,0.003501190925537869,3.0,PH,1 Tomato,Uniform,139530.0
27,0.004178001067277531,3.0,PH,1 Tomato,Uniform,139530.0
28,0.014694589423539977,3.0,PH,1 Tomato,Uniform,139530.0
29,0.05176296026343533,3.0,PH,1 Tomato,Uniform,139530.0
30,0.0,3.0,PH,1 Tomato,Uniform,139530.0
31,7.809347789303797e-05,3.0,PH,1 Tomato,Uniform,139530.0
32,0.3972485064622353,3.0,PH,1 Tomato,Uniform,139530.0
33,0.0076791919928154,3.0,PH,1 Tomato,Uniform,139530.0
34,5.206231859535864e-05,3.0,PH,1 Tomato,Uniform,139530.0
35,0.00028634275227447256,3.0,PH,1 Tomato,Uniform,139530.0
36,0.0,3.0,PH,1 Tomato,Uniform,139530.0
37,0.052348661347633114,3.0,PH,1 Tomato,Uniform,139530.0
38,0.0009891840533118143,3.0,PH,1 Tomato,Uniform,139530.0
39,0.0002342804336791139,3.0,PH,1 Tomato,Uniform,139530.0
40,0.05263500409990759,3.0,PH,1 Tomato,Uniform,139530.0
41,0.8379690489515951,3.0,PH,1 Tomato,Uniform,139530.0
42,0.26179536905676093,3.0,PH,1 Tomato,Uniform,139530.0
43,0.05255691062201455,3.0,PH,1 Tomato,Uniform,139530.0
44,0.0021605862217073837,3.0,PH,1 Tomato,Uniform,139530.0
45,0.002368835496088818,3.0,PH,1 Tomato,Uniform,139530.0
46,0.0,3.0,PH,1 Tomato,Uniform,139530.0
47,7.809347789303797e-05,3.0,PH,1 Tomato,Uniform,139530.0
48,0.0,3.0,PH,1 Tomato,Uniform,139530.0
